ParentCode;Code;Name;Position;Description
"";"ACO";"Acopio";1;"Acopio Facility GmbH & Co. KG"
"ACO";"001";"ACO.001 - Treseburger Ufer 48";1;"WEZ Treseburger Ufer 48, 12347 Berlin"
"ACO";"002";"ACO.002 - Bendastr. 13";2;"Bendastr. 13, 12051 Berlin"
"ACO";"003";"ACO.003 - Genter Str. 66";3;"Genter Str. 66, 13353 Berlin"
"ACO";"004";"ACO.004 - Jülicher Str. 5";4;"Jülicher Str. 5, 13357 Berlin"
"ACO";"005";"ACO.005 - Südstern 14";5;"Südstern 14, 10961 Berlin"
"ACO";"006";"ACO.006 - Waldecker Str. 43";6;"Waldecker Str. 43,  47169 Duisburg"
"";"AES2";"AES";2;"Adler Energie Service"
"AES2";"1";"vollständige Anlagen";1;""
"AES2.1";"100";"AES.100 - Alexianergraben 20/22";1;"Alexianergraben 20/22, 52062 Aachen"
"AES2.1";"101";"AES.101 - Neumarkt 3";2;"Neumarkt 3, 08280 Aue"
"AES2.1";"102";"AES.102 - Scharhörnstraße 14-16";3;"Scharhörnstraße 14-16, 23554 Lübeck"
"AES2.1";"108";"AES.108 - Etatsrätin-Doos-Str. 2";4;"Etatsrätin-Doos-Str. 2, 25554 Wilster"
"AES2.1";"114";"AES.114 - Oldeoog 5";5;"Oldeoog 5, 28259 Bremen"
"AES2.1";"116";"AES.116 - Norfolkstraße 14";6;"Norfolkstraße 14, 26382 Wilhelmshaven"
"AES2.1";"118";"AES.118 - Bahnhofstraße 105";7;"Bahnhofstraße 105, 26382 Wilhelmshaven"
"AES2.1";"119";"AES.119 - Schillerstraße 57";8;"Schillerstraße 57, 26382 Wilhelmshaven"
"AES2.1";"123";"AES.123 - Friedrich-Ebert-Straße 83";9;"Friedrich-Ebert-Straße 83, 27570 Bremerhaven"
"AES2.1";"124";"AES.124 - Carsten-Lücken-Straße 133";10;"Carsten-Lücken-Straße 133, 27574 Bremerhaven"
"AES2.1";"126";"AES.126 - Ölhafendamm 46";11;"Ölhafendamm 46, 26384 Wilhelmshaven"
"AES2.1";"127";"AES.127 - Ölhafendamm 42";12;"Ölhafendamm 42, 26384 Wilhelmshaven"
"AES2.1";"128";"AES.128 - Gökerstraße 63";13;"Gökerstraße 63, 26384 Wilhelmshaven"
"AES2.1";"129";"AES.129 - Mühlenweg 100";14;"Mühlenweg 100, 26384 Wilhelmshaven"
"AES2.1";"130";"AES.130 - Liliencronstraße 10";15;"Liliencronstraße 10, 26386 Wilhelmshaven"
"AES2.1";"132";"AES.132 - Frankenberger Straße 80";16;"Frankenberger Straße 80, 09131 Chemnitz"
"AES2.1";"136";"AES.136 - Zwickauer Straße 2";17;"Zwickauer Straße 2, 44139 Dortmund"
"AES2.1";"138";"AES.138 - Preußenstraße 41a";18;"Preußenstraße 41a, 26388 Wilhelmshaven"
"AES2.1";"139";"AES.139 - Posener Straße 36";19;"Posener Straße 36, 26388 Wilhelmshaven"
"AES2.1";"140";"AES.140 - Poststraße 32a";20;"Poststraße 32a, 26388 Wilhelmshaven"
"AES2.1";"145";"AES.145 - Mintropstraße 28";21;"Mintropstraße 28, 40215 Düsseldorf"
"AES2.1";"146";"AES.146 - Europaring 21";22;"Europaring 21, 26389 Wilhelmshaven"
"AES2.1";"147";"AES.147 - Europaring 20";23;"Europaring 20, 26389 Wilhelmshaven"
"AES2.1";"148";"AES.148 - Europaring 13";24;"Europaring 13, 26389 Wilhelmshaven"
"AES2.1";"150";"AES.150 - Weidenstraße 14";25;"Weidenstraße 14, 26389 Wilhelmshaven"
"AES2.1";"151";"AES.151 - Weidenstraße 35";26;"Weidenstraße 35, 26389 Wilhelmshaven"
"AES2.1";"152";"AES.152 - Weidenstraße 32";27;"Weidenstraße 32, 26389 Wilhelmshaven"
"AES2.1";"153";"AES.153 - Weidenstraße 26";28;"Weidenstraße 26, 26389 Wilhelmshaven"
"AES2.1";"154";"AES.154 - Weidenstraße 29";29;"Weidenstraße 29, 26389 Wilhelmshaven"
"AES2.1";"155";"AES.155 - Weidenstraße 11";30;"Weidenstraße 11, 26389 Wilhelmshaven"
